Comment,Time,zan
喜欢,6月10日 12:31  来自广西,
嘎嘎好听,6月10日 10:04  来自广西,
涩涩的好喜欢,6月10日 02:20  来自贵州,1
学校亲了我一口￼校花炸了￼,6月9日 22:54  来自陕西,
不错,6月9日 20:55  来自河北,
我太喜欢他了！,6月9日 11:04  来自江苏,
dy刷到的,6月9日 07:29  来自重庆,1
为啥我听着听着眼皮越来越沉重,6月9日 07:27  来自上海,
太爱了🆘,6月9日 01:20  来自河南,1
好魔性的歌,6月8日 22:20  来自河南,1
慎得慌,6月8日 21:01  来自江苏,
这旋律有点上头,6月8日 19:23  来自四川,
泰酷辣,6月8日 18:54  来自广东,
好听,6月8日 17:48  来自河南,
绝绝子,6月8日 17:47  来自河南,2
“我贪婪着你的灵魂...你的肉体，一切...一切，我不能控制自己，我深深地爱着你，你就像一把利刃，插入我的心脏，我的身体，从甜蜜到痛苦...更多的伤害...更多的爱，我爱你...”,6月8日 15:52  来自广东,
“我贪婪这你的灵魂...你的肉体，一切...一切，我不能控制自己，我深深地爱着你，你就像一把利刃，插入我的心脏，我的身体，从甜蜜到痛苦...更多的伤害...更多的爱，我爱你...”,6月8日 13:47  来自四川,
蓝色的专辑旋律较快，感觉红色的刚好,6月8日 11:08  来自贵州,
一听就爱上了,6月8日 09:44  来自河南,
有没有风格跟这个类似的,6月7日 23:19  来自吉林,
空灵的声音,6月7日 20:51  来自湖北,
每次都说是最后一次，想被爱…,6月7日 20:25  来自黑龙江,1
"根据歌词解读，这可能讲的是一个女人被家暴后自己的心声……
愿世界没有暴力……",6月7日 16:59  来自河南,1
好适合命定之人哈哈哈哈哈对不起,6月7日 08:43  来自吉林,
好听，爱了爱了,6月7日 08:26  来自黑龙江,1
没有什么日子需要赋予特殊意义，我时时爱你，不需要在某个节点才袒露心意(ㅇㅅㅇ❀),6月7日 01:09  来自河南,
片哥指定bgm,6月6日 22:32  来自四川,
好听 爱听,6月6日 22:30  来自四川,9
艾了,6月6日 18:34  来自浙江,
金榜题名,6月6日 18:15  来自新疆,
端午节快乐,6月6日 14:05  来自广东,
小妹妹，貌似你长的也不咋滴好看。,6月5日 21:58  来自广东,
亲爱的 随你 你要是想陌生 我绝不打扰你,6月5日 21:28  来自黑龙江,
BABYDOLL,6月5日 20:28  来自福建,
封面好美啊,6月5日 20:23  来自广西,
好适合白济娜,6月5日 17:41  来自广西,
喜欢,6月5日 16:01  来自广西,
笨拙的小狗 也有人爱啦,6月5日 08:32  来自江苏,3
笨拙的小狗 也有人爱啦,6月5日 04:54  来自山东,2
我有一个故事，一年回来我在说,6月5日 03:30  来自浙江,3
微醺,6月5日 01:32  来自福建,
听了第一遍直接爱了爱了 再加上这个图我真的太喜欢了,6月4日 22:31  来自河南,3
多剪一秒都过不了审,6月4日 21:42  来自湖北,3
剪片の小曲,6月4日 21:18  来自河南,6
baby,6月4日 21:18  来自河南,4
见过花开就好了，何必在意花落谁家，又何必在意为谁而开，至少有一刻你闻到了花香，体验到了只为这一刻的浪漫“在星空的某处有属于我的花”明确的爱，直接的厌恶，真诚的喜欢，站在太阳下的坦荡，大声无愧地称赞自己.,6月4日 21:18  来自河南,
众人皆醒我独醉。,6月4日 20:17  来自江西,
剪片专用歌,6月4日 19:44  来自山东,30
恭喜Ari Abdul-《BABYDOLL (Speed) 》达成百万收藏！,6月4日 19:43  来自山东,15
直接上头,6月4日 15:47  来自甘肃,8
宝贝豆，扎导拍的一个电影,6月4日 12:56  来自四川,1
好像夏花里的配乐,6月4日 08:41  来自广东,1
酷,6月4日 00:05  来自江西,1
这首歌听着真的上瘾啊，已经循环播放好几天了,6月3日 23:49  来自浙江,4
家人们快听啊,6月3日 23:05  来自福建,
感觉上头了⊙_⊙,6月3日 22:55  来自四川,
单曲循环ing,6月3日 21:46  来自广东,1
有感觉,6月3日 21:34  来自广东,1
yeah！听着很上头耶,6月3日 20:59  来自山东,1
听完0.8倍速你会感谢我的,6月3日 19:22  来自河南,
@小琴 如何评价这首歌,6月3日 18:31  来自上海,2
“你的crush在夜晚抽着香烟强吻你”,6月3日 18:02  来自上海,
上头,6月3日 15:42  来自福建,1
麦片小曲,6月3日 13:11  来自广东,
爱了,6月3日 10:19  来自广东,14
好听死了,6月3日 09:15  来自河南,
喜欢,6月3日 00:23  来自广东,
